id,food,category,kcal,protein_g,fat_g,fiber_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitC_mg,gi,contains_gluten,contains_peanut,contains_shellfish,contains_milk,contains_lactose,vegan,vegetarian,carbs_g
452,iogurte_sabor_pessego,leite_e_derivados,68.0,2.5,2.3,0.7,37.0,52.0,95.0,0.1,0.0,42.0,False,False,False,True,True,False,True,9.4
448,iogurte_natural,leite_e_derivados,51.0,4.1,3.0,,52.0,71.0,143.0,0.0,0.9,,False,False,False,True,True,False,True,1.9
449,iogurte_natural_desnatado,leite_e_derivados,41.0,3.8,0.3,,60.0,182.0,157.0,0.0,0.3,,False,False,False,True,True,False,True,5.8
454,leite_de_cabra,leite_e_derivados,66.0,3.1,3.8,,74.0,140.0,112.0,0.1,0.0,,False,False,False,True,True,False,True,5.2
455,leite_de_vaca_achocolatado,leite_e_derivados,83.0,2.1,2.2,0.6,72.0,155.0,70.0,0.5,3.3,,False,False,False,True,True,False,True,14.2
456,leite_de_vaca_desnatado_po,leite_e_derivados,362.0,34.7,0.9,,432.0,1556.0,1363.0,0.9,,,False,False,False,True,True,False,True,53.0
459,leite_de_vaca_integral_po,leite_e_derivados,497.0,25.4,26.9,,323.0,1132.0,890.0,0.5,0.0,,False,False,False,True,True,False,True,39.2
460,leite_fermentado,leite_e_derivados,70.0,1.9,0.1,,33.0,94.0,72.0,0.0,0.5,,False,False,False,True,True,False,True,15.7
461,queijo_minas_frescal,leite_e_derivados,264.0,17.4,20.2,,31.0,105.0,579.0,0.9,0.0,,False,False,False,True,True,False,True,3.2
462,queijo_minas_meia_cura,leite_e_derivados,321.0,21.2,24.6,,501.0,120.0,696.0,0.2,,,False,False,False,True,True,False,True,3.6
463,queijo_mozarela,leite_e_derivados,330.0,22.6,25.2,,581.0,62.0,875.0,0.3,,,False,False,False,True,True,False,True,3.0
464,queijo_parmesao,leite_e_derivados,453.0,35.6,33.5,,1844.0,96.0,992.0,0.5,0.0,,False,False,False,True,True,False,True,1.7
465,queijo_pasteurizado,leite_e_derivados,303.0,9.4,27.4,,780.0,194.0,323.0,0.3,0.0,,False,False,False,True,True,False,True,5.7
467,queijo_prato,leite_e_derivados,360.0,22.7,29.1,,580.0,73.0,940.0,0.3,,,False,False,False,True,True,False,True,1.9
468,queijo_requeijao_cremoso,leite_e_derivados,257.0,9.6,23.4,,558.0,93.0,259.0,0.1,0.0,,False,False,False,True,True,False,True,2.4
469,queijo_ricota,leite_e_derivados,140.0,12.6,8.1,,283.0,112.0,253.0,0.1,0.0,,False,False,False,True,True,False,True,3.8
